"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"spleen","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","2",2,12,36000
"spleen","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","male","2",2,2,6000
"spleen","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","female","3",2,12,36000
"spleen","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","female","3",2,17,51000
"spleen","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","3",2,6,18000
"spleen","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","female","4",0,1,30
"spleen","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","female","4",2,4,12000
"spleen","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","female","4",3,18,540000
"spleen","""Dec 28 2023""","14","FL","FL","BCG+ID93-GLA-SE","male","4",0,6,180
"spleen","""Feb 28 2023""","56","FL","FL","BCG+ID93-GLA-SE","male","4",2,10,30000
"spleen","""Mar 22 24""","90","FL","FL","BCG+ID93-GLA-SE","male","4",2,32,96000
